"terrain_ruggedness_index","sws_mean","o2_mean","si_mean","thetao_mean","Freq","resp.var"
180,0.9,410,120,4,234,"out"
730,0.7,340,100,20,234,"out"
0,0.1,300,10,0,232,"in"
890,0.1,320,200,8,234,"out"
280,0,300,10,2,230,"in"
750,0.1,260,260,16,234,"out"
860,1,240,260,6,234,"out"
840,0.3,140,170,2,234,"out"
150,0.1,190,10,10,233,"in"
50,0,290,10,6,233,"in"
20,0,300,10,0,208,"in"
680,0.4,230,140,10,234,"out"
50,0.1,300,0,6,233,"in"
880,0.7,40,120,16,234,"out"
10,0.7,40,160,2,234,"out"
1150,1.3,380,160,10,234,"out"
240,0.1,310,270,16,234,"out"
10,0,290,10,4,104,"in"
110,0,190,10,10,233,"in"
430,1.2,250,260,0,234,"out"
690,0,190,0,-2,234,"out"
870,0.2,120,240,-2,234,"out"
40,0,300,10,4,233,"in"
510,0,360,200,-2,234,"out"
720,0.9,350,200,10,234,"out"
450,0.9,390,160,18,234,"out"
1160,0.4,210,0,8,234,"out"
80,0,200,10,12,233,"in"
30,0,300,10,2,220,"in"
90,0.1,300,10,2,226,"in"
20,0.1,300,10,4,232,"in"
60,0,180,10,12,233,"in"
70,0.1,280,10,6,232,"in"
40,0.1,240,0,14,231,"in"
80,0,200,10,12,233,"in"
40,0.1,310,0,2,233,"in"
590,1.3,410,170,6,234,"out"
1160,0.2,300,220,14,234,"out"
340,0,300,10,2,233,"in"
10,0,260,10,8,217,"in"
190,0.3,340,200,10,234,"out"
440,1.1,290,110,-2,234,"out"
200,0,230,10,6,233,"in"
50,0.1,270,10,8,227,"in"
450,1.2,340,210,6,234,"out"
10,0,270,10,10,221,"in"
160,0.1,230,10,6,226,"in"
90,0,220,10,6,232,"in"
260,0.1,300,10,2,232,"in"
80,0.1,300,10,2,218,"in"
770,0,170,110,0,234,"out"
1050,0.2,410,190,4,234,"out"
0,0.1,290,10,4,221,"in"
1080,1,360,180,-2,234,"out"
1140,0.7,230,240,0,234,"out"
990,0.6,350,230,4,234,"out"
810,0.8,240,190,12,234,"out"
30,0,300,10,4,230,"in"
70,0.1,220,10,12,233,"in"
580,1.3,390,60,16,234,"out"
520,1.2,140,90,18,234,"out"
1150,0.6,120,220,14,234,"out"
1090,0.3,140,250,16,234,"out"
570,1.2,370,90,4,234,"out"
1180,0.4,210,150,12,234,"out"
670,0.4,140,260,-2,234,"out"
250,0.1,190,10,10,233,"in"
1010,0.6,280,290,18,234,"out"
50,0.1,300,0,6,233,"in"
1030,0.1,120,280,0,234,"out"
810,0.7,290,160,12,234,"out"
170,0.8,210,140,8,234,"out"
20,0,240,10,10,233,"in"
10,0,320,10,2,233,"in"
580,0,0,150,20,234,"out"
240,0.2,300,10,2,232,"in"
420,0,410,180,10,234,"out"
130,0,180,10,12,233,"in"
40,1.3,80,200,-2,234,"out"
680,1.1,180,200,8,234,"out"
30,0.1,300,10,4,230,"in"
550,0.6,330,290,14,234,"out"
60,0,190,10,10,230,"in"
1170,0,190,180,-2,234,"out"
1260,1,80,160,-2,234,"out"
610,0.1,350,250,8,234,"out"
210,0.1,300,10,2,231,"in"
60,0.1,410,300,12,234,"out"
20,0.1,140,240,6,234,"out"
110,0,210,10,8,232,"in"
20,0,280,10,6,208,"in"
80,1.3,110,150,18,234,"out"
10,0,280,10,4,219,"in"
0,0,300,10,4,231,"in"
120,0,300,10,2,231,"in"
20,0,190,10,12,232,"in"
810,1,120,280,6,234,"out"
0,0,320,10,2,233,"in"
30,0.2,280,10,4,233,"in"
360,0.6,270,290,16,234,"out"
0,0.1,310,10,2,224,"in"
830,0.8,170,140,16,234,"out"
1010,1.2,220,20,4,234,"out"
200,0,230,10,6,233,"in"
10,0.1,290,10,4,218,"in"
340,0.8,50,290,18,234,"out"
1180,0.8,140,140,-2,234,"out"
940,0.1,150,250,16,234,"out"
550,0.7,410,280,0,234,"out"
0,1.2,140,200,-2,234,"out"
430,1.3,300,60,14,234,"out"
190,1.3,60,80,6,234,"out"
40,0.1,260,10,8,207,"in"
30,0.2,280,10,4,233,"in"
140,0,300,10,2,227,"in"
620,0.8,210,80,2,234,"out"
160,0.1,230,10,6,226,"in"
410,0.9,180,20,8,234,"out"
30,0,300,10,0,231,"in"
990,0.7,110,80,4,234,"out"
160,0.1,210,10,8,233,"in"
90,0,190,10,10,233,"in"
110,0.1,300,10,4,226,"in"
100,0.4,310,0,4,234,"out"
30,0,210,10,12,233,"in"
0,0.1,290,10,4,221,"in"
650,1.1,320,130,4,234,"out"
60,0.2,300,10,4,232,"in"
10,0.1,280,10,4,227,"in"
330,0,260,10,4,233,"in"
130,0,210,10,8,233,"in"
710,0.1,360,40,10,234,"out"
300,0.1,300,10,4,233,"in"
1020,0,330,260,10,234,"out"
30,0,210,10,8,232,"in"
10,0,270,10,8,222,"in"
20,0,270,10,8,233,"in"
300,0.8,310,190,18,234,"out"
180,0,190,10,12,233,"in"
1150,0.1,280,300,20,234,"out"
20,0,200,10,14,233,"in"
1230,1.2,90,120,16,234,"out"
160,0.2,300,10,4,233,"in"
80,0,300,10,0,233,"in"
120,0.1,370,10,0,234,"out"
970,0.7,370,300,2,234,"out"
70,0.2,260,10,8,232,"in"
1010,0.4,340,250,10,234,"out"
1130,0.6,310,230,20,234,"out"
1170,1.2,350,240,14,234,"out"
410,0.5,70,0,10,234,"out"
1200,0.8,320,130,14,234,"out"
510,0.8,130,190,4,234,"out"
1120,0.4,300,30,14,234,"out"
980,0.7,360,150,14,234,"out"
80,0,300,10,0,233,"in"
220,0.2,300,10,4,231,"in"
250,0.2,300,10,2,232,"in"
40,0,300,10,4,233,"in"
150,0,300,10,2,229,"in"
350,0.3,220,10,8,182,"in"
20,0.1,290,10,6,233,"in"
110,0.2,290,10,4,232,"in"
200,0,230,10,6,233,"in"
520,0.5,150,50,2,234,"out"
910,0.2,260,160,14,234,"out"
30,0,270,10,10,232,"in"
1020,0.6,150,100,18,234,"out"
20,0.1,290,10,6,233,"in"
350,0.3,220,10,8,182,"in"
40,0,220,10,8,233,"in"
150,0,300,10,2,229,"in"
1170,1.1,180,110,8,234,"out"
20,0.1,290,10,6,233,"in"
0,0,320,10,0,229,"in"
1220,1.2,90,260,12,234,"out"
550,0.2,350,150,12,234,"out"
880,0.7,20,80,12,234,"out"
170,0,260,10,4,233,"in"
130,0.9,20,150,14,234,"out"
70,0.1,280,10,6,232,"in"
0,0.4,30,0,0,234,"out"
10,0,270,10,8,222,"in"
160,0.1,200,10,8,233,"in"
700,0,60,250,2,234,"out"
170,0,190,10,12,233,"in"
530,0.4,200,30,-2,234,"out"
50,0,300,10,4,231,"in"
1120,0.3,160,300,18,234,"out"
10,0.1,290,10,4,218,"in"
50,0.1,270,10,8,227,"in"
890,0.7,270,210,-2,234,"out"
600,0.4,380,210,0,234,"out"
70,0.1,250,10,8,232,"in"
60,0.2,300,10,4,232,"in"
250,0,340,120,18,234,"out"
260,0,260,10,4,233,"in"
40,0,250,10,10,232,"in"
30,0,250,10,10,230,"in"
130,0,180,10,12,233,"in"
530,0.6,250,20,2,234,"out"
30,0,300,10,0,231,"in"
0,0,300,10,0,201,"in"
260,0.5,390,240,4,234,"out"
250,0.1,190,10,10,233,"in"
30,0.1,280,10,6,228,"in"
80,0,240,10,8,223,"in"
920,1,220,150,8,234,"out"
1230,0.2,320,190,12,234,"out"
20,0,280,10,4,231,"in"
980,0.1,230,290,14,234,"out"
310,0.1,300,10,2,232,"in"
10,0,260,10,8,217,"in"
130,0,180,10,12,233,"in"
550,1.1,10,180,10,234,"out"
780,1,50,240,6,234,"out"
620,0.4,200,230,20,234,"out"
80,0,300,10,0,233,"in"
840,0.2,320,250,0,234,"out"
90,0.1,300,10,4,230,"in"
50,0,300,10,4,231,"in"
610,0.7,60,60,8,234,"out"
300,1.1,20,70,8,234,"out"
960,0.1,50,10,20,234,"out"
130,0.3,280,150,0,234,"out"
220,0.5,0,210,20,234,"out"
670,0.1,60,30,20,234,"out"
730,0.6,0,170,14,234,"out"
230,0,250,20,4,227,"in"
0,0,310,0,2,233,"in"
1020,0.1,370,270,8,234,"out"
40,0.1,310,10,4,233,"in"
90,0.1,310,10,4,233,"in"
0,0,310,10,0,223,"in"
80,0,200,10,12,233,"in"
110,0,210,10,8,232,"in"
470,0,160,160,4,234,"out"
60,1,350,80,2,234,"out"
30,0,310,0,2,231,"in"
1050,0.2,40,270,-2,234,"out"
280,0,110,210,20,234,"out"
20,0,190,10,10,226,"in"
320,0.1,280,50,20,234,"out"
180,0.9,370,280,-2,234,"out"
40,0.1,260,10,8,207,"in"
100,0.1,300,10,2,229,"in"
490,0.2,400,100,2,234,"out"
160,0.1,200,10,8,233,"in"
90,0.1,300,10,4,230,"in"
40,0.1,310,0,4,233,"in"
70,0.6,20,220,4,234,"out"
40,0.1,300,10,2,211,"in"
40,0.1,260,10,8,207,"in"
250,0.1,300,10,2,231,"in"
40,0.8,70,170,2,234,"out"
100,0,200,10,12,233,"in"
180,0,190,10,12,233,"in"
1010,1,30,60,4,234,"out"
230,0,250,20,4,227,"in"
40,0.1,260,10,8,207,"in"
750,0.9,100,240,2,234,"out"
1080,0.9,390,290,16,234,"out"
40,0.1,300,10,2,211,"in"
0,0,260,10,8,231,"in"
600,0.5,80,290,18,234,"out"
20,0,190,10,12,232,"in"
650,0.7,250,190,14,234,"out"
80,0.1,310,0,4,232,"in"
1080,0.4,230,130,18,234,"out"
40,0,310,10,4,232,"in"
50,0,200,10,12,232,"in"
30,0,310,10,2,233,"in"
1010,1.2,200,70,-2,234,"out"
970,1.1,290,170,16,234,"out"
30,0.1,300,10,4,230,"in"
640,1.3,380,280,4,234,"out"
940,0.7,110,100,8,234,"out"
20,0,290,10,4,227,"in"
190,0,240,10,10,232,"in"
100,0.1,300,10,2,229,"in"
40,0,280,10,6,230,"in"
790,0,370,50,20,234,"out"
60,0.1,300,0,6,233,"in"
830,0.4,270,50,6,234,"out"
80,0,290,10,4,233,"in"
30,0,300,10,2,220,"in"
100,0,210,10,8,233,"in"
730,0.3,380,280,6,234,"out"
90,0.1,310,10,4,233,"in"
1000,1.1,260,130,20,234,"out"
120,0,300,10,2,231,"in"
130,0,190,10,10,233,"in"
120,0,230,10,6,233,"in"
40,0.1,310,10,4,233,"in"
330,0,260,10,4,233,"in"
500,0.1,40,180,20,234,"out"
1070,0.1,220,90,16,234,"out"
600,0.6,320,280,4,234,"out"
690,0.9,120,60,8,234,"out"
750,0.4,180,240,0,234,"out"
0,0.4,300,160,2,234,"out"
170,0,250,200,16,234,"out"
960,1,260,230,-2,234,"out"
260,0.2,300,10,2,233,"in"
260,0.1,280,10,4,232,"in"
680,1.2,350,60,14,234,"out"
30,0,220,10,6,232,"in"
820,0,320,290,16,234,"out"
80,1,40,200,12,234,"out"
520,0.4,340,10,8,234,"out"
380,0.3,60,180,20,234,"out"
360,0.8,210,160,12,234,"out"
180,0.9,370,130,-2,234,"out"
580,0.4,380,170,14,234,"out"
30,0,260,10,10,232,"in"
30,0,210,10,8,232,"in"
110,0.1,200,10,10,231,"in"
930,0.1,250,110,16,234,"out"
90,0.9,340,180,20,234,"out"
0,0,260,10,10,208,"in"
140,0.2,300,10,4,231,"in"
760,0.8,0,210,8,234,"out"
0,0,270,10,10,233,"in"
1210,1,370,250,20,234,"out"
90,0.1,310,10,4,233,"in"
260,0,260,10,4,233,"in"
40,0.1,240,0,14,231,"in"
30,0,230,10,10,232,"in"
160,1,30,80,16,234,"out"
10,0,220,10,6,232,"in"
40,0,220,10,12,233,"in"
30,0,220,10,6,232,"in"
0,0,320,10,0,229,"in"
10,0,320,10,0,227,"in"
730,0.4,220,60,12,234,"out"
330,0,260,10,4,233,"in"
70,0.2,260,10,8,232,"in"
40,0.1,230,10,14,233,"in"
280,0,300,10,2,230,"in"
1090,0,220,220,0,234,"out"
10,0,320,10,0,227,"in"
1050,0.5,210,150,14,234,"out"
50,0,250,10,10,233,"in"
10,0.1,290,10,4,218,"in"
70,0.2,300,10,4,229,"in"
40,0,220,10,8,233,"in"
0,0,260,10,10,208,"in"
20,0.1,290,10,2,218,"in"
30,0,220,10,12,232,"in"
10,0,70,90,4,234,"out"
150,0,300,10,2,229,"in"
40,0,220,10,8,233,"in"
1130,1.1,10,180,4,234,"out"
460,1.2,40,80,14,234,"out"
490,0.3,340,270,0,234,"out"
810,0.7,280,180,10,234,"out"
540,0.8,150,70,18,234,"out"
20,0.1,300,10,2,231,"in"
10,0.1,280,10,6,229,"in"
810,0.6,350,110,-2,234,"out"
0,0,310,0,2,233,"in"
1040,0.2,230,290,2,234,"out"
90,1.2,60,170,20,234,"out"
670,0.2,180,0,14,234,"out"
1230,0.1,170,220,10,234,"out"
230,0.2,180,130,-2,234,"out"
100,0,200,10,12,233,"in"
250,0,180,10,12,233,"in"
600,0.3,410,110,6,234,"out"
330,1.1,290,160,8,234,"out"
100,0.2,290,10,4,233,"in"
560,0.9,210,120,10,234,"out"
750,0.7,340,30,20,234,"out"
30,0,280,10,6,224,"in"
400,0.7,0,90,16,234,"out"
20,0.1,300,10,4,232,"in"
60,0,190,10,10,230,"in"
70,0.1,300,0,6,231,"in"
490,1.1,380,80,14,234,"out"
20,0.1,290,0,6,233,"in"
100,0,200,10,12,233,"in"
0,0.1,290,10,4,221,"in"
10,0,200,10,12,231,"in"
250,0.1,190,10,10,233,"in"
0,0,320,0,0,232,"in"
30,0,220,10,6,232,"in"
1150,0.5,350,110,-2,234,"out"
150,1.1,360,110,2,234,"out"
30,0,250,10,10,230,"in"
950,0,70,50,0,234,"out"
200,0,230,10,6,233,"in"
990,0.7,290,200,16,234,"out"
130,0,180,10,12,233,"in"
100,0.2,290,10,4,233,"in"
790,1.2,40,120,12,234,"out"
510,1.3,70,110,10,234,"out"
1100,0.9,260,140,20,234,"out"
90,0.7,100,140,12,234,"out"
30,0.1,280,10,6,228,"in"
40,0,290,10,4,233,"in"
750,0.6,90,250,0,234,"out"
100,1.2,350,190,-2,234,"out"
260,0.2,300,10,2,233,"in"
20,0.1,290,0,6,233,"in"
850,1,180,40,4,234,"out"
0,0,310,0,2,233,"in"
10,0,310,0,2,233,"in"
1200,1,280,250,10,234,"out"
40,0.1,240,0,14,231,"in"
350,0.1,410,160,8,234,"out"
150,0,300,10,2,229,"in"
100,0.3,290,10,0,233,"in"
1130,1.3,140,150,6,234,"out"
260,0,260,10,4,233,"in"
680,1.2,350,230,16,234,"out"
230,0,250,20,4,227,"in"
240,0.1,170,290,8,234,"out"
40,0,300,10,0,231,"in"
30,0.2,280,10,4,233,"in"
60,0,180,10,12,233,"in"
150,1.1,0,70,-2,234,"out"
70,0.1,300,10,2,230,"in"
710,0,220,210,20,234,"out"
170,0,240,20,4,221,"in"
1240,1.3,390,170,8,234,"out"
10,0.1,300,10,4,220,"in"
230,0.1,360,90,2,234,"out"
0,0,320,10,0,229,"in"
230,1.2,410,170,14,234,"out"
910,0.4,70,100,4,234,"out"
650,0.6,20,210,8,234,"out"
1110,1,330,130,12,234,"out"
670,0.3,140,30,6,234,"out"
30,0,220,10,12,232,"in"
0,0,270,10,8,231,"in"
40,0.1,310,10,4,233,"in"
50,0.1,270,10,8,227,"in"
50,0.7,330,290,14,234,"out"
0,0,290,10,6,188,"in"
30,0.1,300,0,6,233,"in"
20,0,310,0,4,233,"in"
70,0,190,10,10,233,"in"
30,0,270,0,10,233,"in"
20,0,310,10,0,223,"in"
90,0,220,10,6,232,"in"
450,1.1,190,240,18,234,"out"
1120,1.3,300,70,16,234,"out"
30,0,310,10,4,230,"in"
640,1.1,300,190,2,234,"out"
20,0,220,10,12,231,"in"
1200,0,70,280,4,234,"out"
10,0,310,10,2,201,"in"
1070,1.1,120,280,6,234,"out"
210,1.2,170,170,2,234,"out"
200,0,160,210,20,234,"out"
30,0,270,10,10,232,"in"
50,0.9,50,230,10,234,"out"
10,0.1,300,10,2,217,"in"
870,1.1,100,100,6,234,"out"
70,0.1,300,0,6,231,"in"
250,0,180,10,12,233,"in"
130,0,190,10,10,233,"in"
80,0,220,10,8,233,"in"
0,0,260,10,10,208,"in"
10,0,310,10,2,201,"in"
40,0.1,230,10,14,233,"in"
540,0.6,0,300,18,234,"out"
500,0.3,180,240,-2,234,"out"
340,0,180,160,20,234,"out"
250,0.1,190,10,10,233,"in"
970,0.8,120,220,14,234,"out"
30,0,310,10,2,233,"in"
180,0,270,10,4,232,"in"
100,0,200,10,12,233,"in"
80,0,290,10,4,233,"in"
40,0.1,230,10,14,233,"in"
170,0,190,10,12,233,"in"
470,0.9,150,240,4,234,"out"
20,0,280,10,6,208,"in"
50,0.1,260,10,8,230,"in"
130,0,330,270,-2,234,"out"
50,0.1,300,0,6,233,"in"
0,0,270,10,8,231,"in"
10,0,280,10,4,219,"in"
960,0.9,280,170,8,234,"out"
110,0.2,300,10,4,231,"in"
800,0.5,150,280,10,234,"out"
0,0,310,0,2,233,"in"
1150,0.8,210,270,18,234,"out"
30,0,220,10,8,230,"in"
230,1.2,270,270,6,234,"out"
120,0,300,10,2,231,"in"
770,0.3,50,170,20,234,"out"
590,0.3,200,110,0,234,"out"
110,0.1,200,10,10,231,"in"
160,0.2,290,10,4,232,"in"
790,1,100,90,14,234,"out"
30,0.1,300,10,4,230,"in"
1140,0.2,350,210,0,234,"out"
1050,0.1,70,200,4,234,"out"
80,0.3,230,160,20,234,"out"
10,0,200,10,12,231,"in"
20,0,270,10,10,230,"in"
80,0,200,10,12,233,"in"
1130,0.7,270,130,12,234,"out"
20,0,300,10,4,220,"in"
0,0,280,10,4,176,"in"
480,0.1,120,140,2,234,"out"
1240,0.6,10,40,20,234,"out"
70,0.2,300,10,4,229,"in"
1160,0.3,310,270,14,234,"out"
160,0.1,310,10,2,228,"in"
160,0.1,310,10,2,228,"in"
50,0.5,150,200,18,234,"out"
710,1.3,250,40,6,234,"out"
60,0.9,380,30,20,234,"out"
560,0.5,310,60,10,234,"out"
160,0.2,290,10,4,232,"in"
0,0.1,350,200,14,234,"out"
170,0,290,220,4,234,"out"
110,0.1,200,10,10,231,"in"
70,0.1,300,10,4,231,"in"
1130,0.5,190,170,-2,234,"out"
200,0.1,230,10,10,233,"in"
860,1.2,350,280,-2,234,"out"
880,1.1,380,110,18,234,"out"
90,0,220,10,6,232,"in"
800,1,90,30,0,234,"out"
140,0,210,10,8,233,"in"
70,0.1,250,10,8,232,"in"
290,0.1,210,220,16,234,"out"
880,1.3,190,220,-2,234,"out"
1260,0.5,40,270,8,234,"out"
1170,1.3,40,220,-2,234,"out"
120,0,230,10,6,233,"in"
400,0.8,340,180,10,234,"out"
880,1,20,170,2,234,"out"
80,0.1,300,10,2,218,"in"
30,0,250,10,10,230,"in"
0,0,290,10,6,188,"in"
20,0,250,0,14,232,"in"
140,0,0,240,20,234,"out"
10,0,310,0,2,233,"in"
20,0,300,10,4,220,"in"
1070,0,80,280,10,234,"out"
50,0.7,230,240,6,234,"out"
190,0,240,10,10,232,"in"
1000,1.2,410,270,2,234,"out"
30,0,210,10,8,232,"in"
10,0,250,10,10,225,"in"
90,0,160,170,12,234,"out"
10,0,280,10,4,219,"in"
640,0.2,80,200,10,234,"out"
20,0.1,280,10,4,233,"in"
320,0.6,250,270,0,234,"out"
260,0.4,340,0,18,234,"out"
30,0,260,20,4,233,"in"
40,1,410,10,0,234,"out"
