"","pb","altitude","aspect1","preciptn","roughness1","slope","tempAvg","tempMin"
"170",1,NA,NA,NA,NA,NA,NA,NA
"171",1,NA,NA,NA,NA,NA,NA,NA
"172",1,NA,NA,NA,NA,NA,NA,NA
"173",1,NA,NA,NA,NA,NA,NA,NA
"174",1,NA,NA,NA,NA,NA,NA,NA
"175",1,NA,NA,NA,NA,NA,NA,NA
"176",1,159,250.529693603516,179,96,315014.28125,243,201
"177",1,159,250.529693603516,179,96,315014.28125,243,201
"178",1,159,250.529693603516,179,96,315014.28125,243,201
"179",1,159,250.529693603516,179,96,315014.28125,243,201
"180",1,245,137.602569580078,118,70,46717.234375,252,203
"181",1,245,137.602569580078,118,70,46717.234375,252,203
"182",1,245,137.602569580078,118,70,46717.234375,252,203
"183",1,245,137.602569580078,118,70,46717.234375,252,203
"184",1,245,137.602569580078,118,70,46717.234375,252,203
"185",1,612,75.6324310302734,138,326,1698626.625,233,185
"186",1,612,75.6324310302734,138,326,1698626.625,233,185
"187",1,612,75.6324310302734,138,326,1698626.625,233,185
"188",1,38,211.218399047852,175,65,231525.375,263,216
"189",1,835,137.888153076172,228,212,1178830.125,209,164
"190",1,159,250.529693603516,179,96,315014.28125,243,201
"191",1,159,250.529693603516,179,96,315014.28125,243,201
"192",1,NA,NA,NA,NA,NA,NA,NA
"193",1,NA,NA,NA,NA,NA,NA,NA
"194",1,NA,NA,NA,NA,NA,NA,NA
"195",1,188,259.315093994141,152,66,161805.4375,245,200
"196",1,188,259.315093994141,152,66,161805.4375,245,200
"197",1,188,259.315093994141,152,66,161805.4375,245,200
"198",1,188,259.315093994141,152,66,161805.4375,245,200
"199",1,28,192.264770507812,219,12,35305.80859375,264,205
"200",1,45,68.1985931396484,239,15,32310.98828125,263,219
"201",1,NA,NA,NA,NA,NA,NA,NA
"202",1,NA,NA,NA,NA,NA,NA,NA
"203",1,3,NA,283,NA,NA,262,227
"204",1,NA,NA,NA,NA,NA,NA,NA
"205",1,NA,NA,NA,NA,NA,NA,NA
"206",1,NA,NA,NA,NA,NA,NA,NA
"207",1,NA,NA,NA,NA,NA,NA,NA
"208",1,NA,NA,NA,NA,NA,NA,NA
"209",1,NA,NA,NA,NA,NA,NA,NA
"210",1,NA,NA,NA,NA,NA,NA,NA
"211",1,NA,NA,NA,NA,NA,NA,NA
"212",1,7,NA,306,NA,NA,259,227
"213",1,7,NA,306,NA,NA,259,227
"214",1,23,285.724731445312,316,43,160507.015625,257,221
"215",1,33,347.822875976562,279,160,583120.0625,258,220
"216",1,33,347.822875976562,279,160,583120.0625,258,220
"217",1,181,227.212036132812,169,186,989272.4375,256,208
"218",1,1021,126.724105834961,251,358,1179003.875,195,151
"219",1,13,NA,182,NA,NA,268,219
"220",1,NA,NA,NA,NA,NA,NA,NA
"221",1,13,NA,182,NA,NA,268,219
"222",1,13,NA,182,NA,NA,268,219
"223",1,NA,NA,NA,NA,NA,NA,NA
"224",1,1021,126.724105834961,251,358,1179003.875,195,151
"225",1,NA,NA,NA,NA,NA,NA,NA
"226",1,NA,NA,NA,NA,NA,NA,NA
"227",1,NA,NA,NA,NA,NA,NA,NA
"228",1,3,NA,283,NA,NA,262,227
"229",1,NA,NA,NA,NA,NA,NA,NA
"230",1,4,118.123733520508,344,64,197294.203125,259,231
"231",1,NA,NA,NA,NA,NA,NA,NA
"232",1,NA,NA,NA,NA,NA,NA,NA
"233",1,NA,NA,NA,NA,NA,NA,NA
"234",1,NA,NA,NA,NA,NA,NA,NA
"235",1,NA,NA,NA,NA,NA,NA,NA
"236",1,NA,NA,NA,NA,NA,NA,NA
"237",1,NA,NA,NA,NA,NA,NA,NA
"238",1,NA,NA,NA,NA,NA,NA,NA
"239",1,NA,NA,NA,NA,NA,NA,NA
"240",1,NA,NA,NA,NA,NA,NA,NA
"241",1,NA,NA,NA,NA,NA,NA,NA
"242",1,NA,NA,NA,NA,NA,NA,NA
"243",1,NA,NA,NA,NA,NA,NA,NA
"244",1,NA,NA,NA,NA,NA,NA,NA
"245",1,NA,NA,NA,NA,NA,NA,NA
"246",1,NA,NA,NA,NA,NA,NA,NA
"247",1,NA,NA,NA,NA,NA,NA,NA
"248",1,NA,NA,NA,NA,NA,NA,NA
"249",1,NA,NA,NA,NA,NA,NA,NA
"250",1,NA,NA,NA,NA,NA,NA,NA
"251",1,NA,NA,NA,NA,NA,NA,NA
"252",1,NA,NA,NA,NA,NA,NA,NA
"253",1,NA,NA,NA,NA,NA,NA,NA
"254",1,159,250.529693603516,179,96,315014.28125,243,201
"255",1,159,250.529693603516,179,96,315014.28125,243,201
"256",1,159,250.529693603516,179,96,315014.28125,243,201
"257",1,159,250.529693603516,179,96,315014.28125,243,201
"258",1,159,250.529693603516,179,96,315014.28125,243,201
"259",1,NA,NA,NA,NA,NA,NA,NA
"260",1,NA,NA,NA,NA,NA,NA,NA
"261",1,NA,NA,NA,NA,NA,NA,NA
"262",1,NA,NA,NA,NA,NA,NA,NA
"263",1,NA,NA,NA,NA,NA,NA,NA
"264",1,NA,NA,NA,NA,NA,NA,NA
"265",1,NA,NA,NA,NA,NA,NA,NA
"266",1,159,250.529693603516,179,96,315014.28125,243,201
"267",1,159,250.529693603516,179,96,315014.28125,243,201
"268",1,159,250.529693603516,179,96,315014.28125,243,201
"269",1,159,250.529693603516,179,96,315014.28125,243,201
"270",1,159,250.529693603516,179,96,315014.28125,243,201
"271",1,159,250.529693603516,179,96,315014.28125,243,201
"272",1,159,250.529693603516,179,96,315014.28125,243,201
"273",1,159,250.529693603516,179,96,315014.28125,243,201
"274",1,159,250.529693603516,179,96,315014.28125,243,201
"275",1,159,250.529693603516,179,96,315014.28125,243,201
"276",1,159,250.529693603516,179,96,315014.28125,243,201
"277",1,159,250.529693603516,179,96,315014.28125,243,201
"278",1,159,250.529693603516,179,96,315014.28125,243,201
"279",1,159,250.529693603516,179,96,315014.28125,243,201
"280",1,159,250.529693603516,179,96,315014.28125,243,201
"281",1,159,250.529693603516,179,96,315014.28125,243,201
"282",1,NA,NA,NA,NA,NA,NA,NA
"283",1,NA,NA,NA,NA,NA,NA,NA
"284",1,NA,NA,NA,NA,NA,NA,NA
"285",1,NA,NA,NA,NA,NA,NA,NA
"286",1,NA,NA,NA,NA,NA,NA,NA
"287",1,NA,NA,NA,NA,NA,NA,NA
"288",1,NA,NA,NA,NA,NA,NA,NA
"289",1,NA,NA,NA,NA,NA,NA,NA
"290",1,NA,NA,NA,NA,NA,NA,NA
"291",1,NA,NA,NA,NA,NA,NA,NA
"292",1,NA,NA,NA,NA,NA,NA,NA
"293",1,1257,126.060440063477,273,200,191119.078125,180,137
"294",1,159,250.529693603516,179,96,315014.28125,243,201
"295",1,159,250.529693603516,179,96,315014.28125,243,201
"296",1,159,250.529693603516,179,96,315014.28125,243,201
"297",1,NA,NA,NA,NA,NA,NA,NA
"298",1,NA,NA,NA,NA,NA,NA,NA
"299",1,NA,NA,NA,NA,NA,NA,NA
"300",1,NA,NA,NA,NA,NA,NA,NA
"301",1,NA,NA,NA,NA,NA,NA,NA
"302",1,NA,NA,NA,NA,NA,NA,NA
"303",1,NA,NA,NA,NA,NA,NA,NA
"304",1,NA,NA,NA,NA,NA,NA,NA
"305",1,NA,NA,NA,NA,NA,NA,NA
"306",1,NA,NA,NA,NA,NA,NA,NA
"307",1,NA,NA,NA,NA,NA,NA,NA
"308",1,NA,NA,NA,NA,NA,NA,NA
"309",1,NA,NA,NA,NA,NA,NA,NA
"310",1,NA,NA,NA,NA,NA,NA,NA
"311",1,NA,NA,NA,NA,NA,NA,NA
"312",1,NA,NA,NA,NA,NA,NA,NA
"313",1,NA,NA,NA,NA,NA,NA,NA
"314",1,NA,NA,NA,NA,NA,NA,NA
"315",1,NA,NA,NA,NA,NA,NA,NA
"316",1,206,269.121276855469,120,307,978115,258,202
"317",1,NA,NA,NA,NA,NA,NA,NA
"318",1,NA,NA,NA,NA,NA,NA,NA
"319",1,NA,NA,NA,NA,NA,NA,NA
"320",1,NA,NA,NA,NA,NA,NA,NA
"321",1,NA,NA,NA,NA,NA,NA,NA
"322",1,NA,NA,NA,NA,NA,NA,NA
"323",1,NA,NA,NA,NA,NA,NA,NA
"324",1,NA,NA,NA,NA,NA,NA,NA
"325",1,NA,NA,NA,NA,NA,NA,NA
"326",1,NA,NA,NA,NA,NA,NA,NA
"327",1,NA,NA,NA,NA,NA,NA,NA
"328",1,NA,NA,NA,NA,NA,NA,NA
"329",1,NA,NA,NA,NA,NA,NA,NA
"330",1,NA,NA,NA,NA,NA,NA,NA
"331",1,NA,NA,NA,NA,NA,NA,NA
"332",1,NA,NA,NA,NA,NA,NA,NA
"333",1,NA,NA,NA,NA,NA,NA,NA
"334",1,NA,NA,NA,NA,NA,NA,NA
"335",1,NA,NA,NA,NA,NA,NA,NA
"336",1,NA,NA,NA,NA,NA,NA,NA
"337",1,NA,NA,NA,NA,NA,NA,NA
"338",1,NA,NA,NA,NA,NA,NA,NA
"339",1,NA,NA,NA,NA,NA,NA,NA
"340",1,NA,NA,NA,NA,NA,NA,NA
"341",1,NA,NA,NA,NA,NA,NA,NA
"342",1,NA,NA,NA,NA,NA,NA,NA
"343",1,NA,NA,NA,NA,NA,NA,NA
"344",1,NA,NA,NA,NA,NA,NA,NA
"345",1,NA,NA,NA,NA,NA,NA,NA
"346",1,NA,NA,NA,NA,NA,NA,NA
"347",1,580,150.774841308594,51,532,2153641.75,239,188
"348",1,580,150.774841308594,51,532,2153641.75,239,188
"349",1,74,NA,39,NA,NA,265,213
"350",1,NA,NA,NA,NA,NA,NA,NA
"351",1,NA,NA,NA,NA,NA,NA,NA
"352",1,NA,NA,NA,NA,NA,NA,NA
"353",1,NA,NA,NA,NA,NA,NA,NA
"354",1,NA,NA,NA,NA,NA,NA,NA
"355",1,NA,NA,NA,NA,NA,NA,NA
"356",1,NA,NA,NA,NA,NA,NA,NA
"357",1,NA,NA,NA,NA,NA,NA,NA
"358",1,NA,NA,NA,NA,NA,NA,NA
"359",1,NA,NA,NA,NA,NA,NA,NA
"360",1,NA,NA,NA,NA,NA,NA,NA
"361",1,72,174.805572509766,164,35,33136.08203125,247,205
"362",1,NA,NA,NA,NA,NA,NA,NA
"363",1,72,174.805572509766,164,35,33136.08203125,247,205
"364",1,NA,NA,NA,NA,NA,NA,NA
"365",1,NA,NA,NA,NA,NA,NA,NA
"366",1,NA,NA,NA,NA,NA,NA,NA
"367",1,NA,NA,NA,NA,NA,NA,NA
"368",1,72,174.805572509766,164,35,33136.08203125,247,205
"369",1,72,174.805572509766,164,35,33136.08203125,247,205
"370",1,NA,NA,NA,NA,NA,NA,NA
"371",1,NA,NA,NA,NA,NA,NA,NA
"372",1,NA,NA,NA,NA,NA,NA,NA
"373",1,NA,NA,NA,NA,NA,NA,NA
"374",1,NA,NA,NA,NA,NA,NA,NA
"375",1,NA,NA,NA,NA,NA,NA,NA
"376",1,72,174.805572509766,164,35,33136.08203125,247,205
"377",1,3,NA,135,NA,NA,269,220
"378",1,NA,NA,NA,NA,NA,NA,NA
"379",1,NA,NA,NA,NA,NA,NA,NA
"380",1,NA,NA,NA,NA,NA,NA,NA
"381",1,NA,NA,NA,NA,NA,NA,NA
"382",1,72,174.805572509766,164,35,33136.08203125,247,205
"383",1,NA,NA,NA,NA,NA,NA,NA
"384",1,NA,NA,NA,NA,NA,NA,NA
"385",1,101,283.309173583984,170,198,860100.5625,246,204
"386",1,8,NA,321,NA,NA,253,220
"387",1,NA,NA,NA,NA,NA,NA,NA
"388",1,NA,NA,NA,NA,NA,NA,NA
"389",1,NA,NA,NA,NA,NA,NA,NA
"390",1,NA,NA,NA,NA,NA,NA,NA
"391",1,NA,NA,NA,NA,NA,NA,NA
"392",1,NA,NA,NA,NA,NA,NA,NA
"393",1,NA,NA,NA,NA,NA,NA,NA
"394",1,NA,NA,NA,NA,NA,NA,NA
"395",1,NA,NA,NA,NA,NA,NA,NA
"396",1,NA,NA,NA,NA,NA,NA,NA
"397",1,NA,NA,NA,NA,NA,NA,NA
"398",1,NA,NA,NA,NA,NA,NA,NA
"399",1,NA,NA,NA,NA,NA,NA,NA
"400",1,NA,NA,NA,NA,NA,NA,NA
"401",1,NA,NA,NA,NA,NA,NA,NA
"402",1,NA,NA,NA,NA,NA,NA,NA
"403",1,NA,NA,NA,NA,NA,NA,NA
"404",1,NA,NA,NA,NA,NA,NA,NA
"405",1,NA,NA,NA,NA,NA,NA,NA
"406",1,NA,NA,NA,NA,NA,NA,NA
"407",1,NA,NA,NA,NA,NA,NA,NA
"408",1,NA,NA,NA,NA,NA,NA,NA
"409",1,NA,NA,NA,NA,NA,NA,NA
"410",1,NA,NA,NA,NA,NA,NA,NA
"411",1,NA,NA,NA,NA,NA,NA,NA
"412",1,NA,NA,NA,NA,NA,NA,NA
"413",1,NA,NA,NA,NA,NA,NA,NA
"414",1,NA,NA,NA,NA,NA,NA,NA
"415",1,NA,NA,NA,NA,NA,NA,NA
"416",1,NA,NA,NA,NA,NA,NA,NA
"417",1,NA,NA,NA,NA,NA,NA,NA
"418",1,NA,NA,NA,NA,NA,NA,NA
"419",1,NA,NA,NA,NA,NA,NA,NA
"420",1,NA,NA,NA,NA,NA,NA,NA
"421",1,NA,NA,NA,NA,NA,NA,NA
"422",1,NA,NA,NA,NA,NA,NA,NA
"423",1,NA,NA,NA,NA,NA,NA,NA
"424",1,NA,NA,NA,NA,NA,NA,NA
"425",1,NA,NA,NA,NA,NA,NA,NA
"426",1,NA,NA,NA,NA,NA,NA,NA
"427",1,NA,NA,NA,NA,NA,NA,NA
"428",1,NA,NA,NA,NA,NA,NA,NA
"429",1,NA,NA,NA,NA,NA,NA,NA
"430",1,NA,NA,NA,NA,NA,NA,NA
"431",1,NA,NA,NA,NA,NA,NA,NA
"432",1,NA,NA,NA,NA,NA,NA,NA
"433",1,NA,NA,NA,NA,NA,NA,NA
"434",1,NA,NA,NA,NA,NA,NA,NA
"435",1,NA,NA,NA,NA,NA,NA,NA
"436",1,NA,NA,NA,NA,NA,NA,NA
"437",1,NA,NA,NA,NA,NA,NA,NA
"438",1,NA,NA,NA,NA,NA,NA,NA
"439",1,NA,NA,NA,NA,NA,NA,NA
"440",1,NA,NA,NA,NA,NA,NA,NA
"441",1,NA,NA,NA,NA,NA,NA,NA
"442",1,NA,NA,NA,NA,NA,NA,NA
"443",1,NA,NA,NA,NA,NA,NA,NA
"444",1,NA,NA,NA,NA,NA,NA,NA
"445",1,NA,NA,NA,NA,NA,NA,NA
"446",1,NA,NA,NA,NA,NA,NA,NA
"447",1,NA,NA,NA,NA,NA,NA,NA
"448",1,NA,NA,NA,NA,NA,NA,NA
"449",1,NA,NA,NA,NA,NA,NA,NA
"450",1,NA,NA,NA,NA,NA,NA,NA
"451",1,NA,NA,NA,NA,NA,NA,NA
"452",1,NA,NA,NA,NA,NA,NA,NA
"453",1,124,20.6589126586914,62,67,195576.078125,261,210
"454",1,124,20.6589126586914,62,67,195576.078125,261,210
"455",1,124,20.6589126586914,62,67,195576.078125,261,210
"456",1,124,20.6589126586914,62,67,195576.078125,261,210
"457",1,NA,NA,NA,NA,NA,NA,NA
"458",1,NA,NA,NA,NA,NA,NA,NA
"459",1,145,222.239151000977,122,263,836771.5,261,204
"460",1,3,NA,135,NA,NA,269,220
"461",1,580,150.774841308594,51,532,2153641.75,239,188
"462",1,580,150.774841308594,51,532,2153641.75,239,188
"463",1,580,150.774841308594,51,532,2153641.75,239,188
"464",1,13,38.2901649475098,40,42,145244.625,267,214
"465",1,3,NA,39,NA,NA,269,217
"466",1,580,150.774841308594,51,532,2153641.75,239,188
"467",1,580,150.774841308594,51,532,2153641.75,239,188
"468",1,580,150.774841308594,51,532,2153641.75,239,188
"469",1,13,38.2901649475098,40,42,145244.625,267,214
"470",1,13,38.2901649475098,40,42,145244.625,267,214
"471",1,NA,NA,NA,NA,NA,NA,NA
"472",1,NA,NA,NA,NA,NA,NA,NA
"473",1,NA,NA,NA,NA,NA,NA,NA
"474",1,580,150.774841308594,51,532,2153641.75,239,188
"475",1,NA,NA,NA,NA,NA,NA,NA
"476",1,14,357.523620605469,39,368,1701088.625,268,216
"477",1,13,38.2901649475098,40,42,145244.625,267,214
"478",1,NA,NA,NA,NA,NA,NA,NA
"479",1,NA,NA,NA,NA,NA,NA,NA
"480",1,NA,NA,NA,NA,NA,NA,NA
"481",1,NA,NA,NA,NA,NA,NA,NA
"482",1,NA,NA,NA,NA,NA,NA,NA
"483",1,NA,NA,NA,NA,NA,NA,NA
"484",1,NA,NA,NA,NA,NA,NA,NA
"485",1,NA,NA,NA,NA,NA,NA,NA
"486",1,NA,NA,NA,NA,NA,NA,NA
"487",1,NA,NA,NA,NA,NA,NA,NA
"488",1,NA,NA,NA,NA,NA,NA,NA
"489",1,NA,NA,NA,NA,NA,NA,NA
"490",1,NA,NA,NA,NA,NA,NA,NA
"491",1,NA,NA,NA,NA,NA,NA,NA
"492",1,NA,NA,NA,NA,NA,NA,NA
"493",1,NA,NA,NA,NA,NA,NA,NA
"494",1,NA,NA,NA,NA,NA,NA,NA
"495",1,NA,NA,NA,NA,NA,NA,NA
"496",1,NA,NA,NA,NA,NA,NA,NA
"497",1,1257,126.060440063477,273,200,191119.078125,180,137
"498",1,28,230.042449951172,202,14,72405.109375,267,214
"499",1,NA,NA,NA,NA,NA,NA,NA
"500",1,NA,NA,NA,NA,NA,NA,NA
"501",1,NA,NA,NA,NA,NA,NA,NA
"502",1,NA,NA,NA,NA,NA,NA,NA
"503",1,NA,NA,NA,NA,NA,NA,NA
"504",1,NA,NA,NA,NA,NA,NA,NA
"505",1,NA,NA,NA,NA,NA,NA,NA
"506",1,NA,NA,NA,NA,NA,NA,NA
"507",1,NA,NA,NA,NA,NA,NA,NA
"508",1,NA,NA,NA,NA,NA,NA,NA
"509",1,NA,NA,NA,NA,NA,NA,NA
"510",1,NA,NA,NA,NA,NA,NA,NA
"511",1,NA,NA,NA,NA,NA,NA,NA
"512",1,NA,NA,NA,NA,NA,NA,NA
"513",1,NA,NA,NA,NA,NA,NA,NA
"514",1,NA,NA,NA,NA,NA,NA,NA
"515",1,NA,NA,NA,NA,NA,NA,NA
"516",1,NA,NA,NA,NA,NA,NA,NA
"517",1,NA,NA,NA,NA,NA,NA,NA
"518",1,NA,NA,NA,NA,NA,NA,NA
"519",1,NA,NA,NA,NA,NA,NA,NA
"520",1,NA,NA,NA,NA,NA,NA,NA
"521",1,NA,NA,NA,NA,NA,NA,NA
"522",1,NA,NA,NA,NA,NA,NA,NA
"523",1,NA,NA,NA,NA,NA,NA,NA
"524",1,NA,NA,NA,NA,NA,NA,NA
"525",1,NA,NA,NA,NA,NA,NA,NA
"526",1,NA,NA,NA,NA,NA,NA,NA
"527",1,NA,NA,NA,NA,NA,NA,NA
"528",1,NA,NA,NA,NA,NA,NA,NA
"529",1,NA,NA,NA,NA,NA,NA,NA
"530",1,NA,NA,NA,NA,NA,NA,NA
