"","X","status","HighestTaxonomicResolution","Species","CruiseID","Ship","SurveyMethod","latitude","longitude","morphotype","ObsYear","Decade","topographic_position_index","terrain_ruggedness_index","aspect","bathymetry_mean","current_direction","current_velocity","dissolvedO2","iron","nitrate","pH","phosphate","primaryprod","salinity","silicate","slope","temperature","substrate"
"14",14,"Present","Species","Suberites pagurorum","","748S","BOT",56.8,-14.275,"massive",2005,2000,5.57291030883789,6.60763549804688,333.236358642578,-186.91667175293,231.241226196289,0.00204912922345102,258.3525390625,0.00158645655028522,9.47060585021973,8.0329475402832,0.701682925224304,0.376353889703751,35.3219375610352,6.14994335174561,0.0789095535874367,9.26002502441406,"1"
"15",15,"Present","Species","Suberites pagurorum","","748S","BOT",56.75,-14.475,"massive",2005,2000,-5.21874618530273,8.51041793823242,165.120574951172,-187.138885498047,228.495910644531,0.00624245870858431,258.052276611328,0.0016360895242542,9.57932281494141,8.0300407409668,0.717590630054474,0.385309308767319,35.3174324035645,6.56326675415039,0.114823877811432,9.20615863800049,"1"
"16",16,"Present","Species","Suberites pagurorum","","748S","BOT",56.95,-13.7667,"massive",2005,2000,11.8715267181396,11.8715267181396,106.664604187012,-172.194442749023,241.759017944336,0.0033606612123549,259.575439453125,0.0015611236449331,9.22560024261475,8.03591442108154,0.682543158531189,0.387560099363327,35.3290176391602,5.6682710647583,0.0548347011208534,9.38309860229492,"1"
"17",17,"Present","Species","Suberites pagurorum","","748S","BOT",57.1417,-13.5167,"massive",2005,2000,-22.9687442779541,28.0798587799072,354.028411865234,-232.83332824707,202.361663818359,0.00918330159038305,249.776138305664,0.000892707670573145,9.83816528320312,8.03690814971924,0.6869295835495,0.293402701616287,35.3297348022461,5.29071044921875,0.325327455997467,9.35775279998779,"1"
"18",18,"Present","Species","Suberites pagurorum","","748S","BOT",57.25,-13.575,"massive",2005,2000,0.215274810791016,13.7986106872559,172.230087280273,-187.055557250977,232.042739868164,0.00767110101878643,256.477294921875,0.00128408102318645,9.31288528442383,8.03845691680908,0.673248410224915,0.351783990859985,35.3206176757812,5.32484579086304,0.157470747828484,9.2354040145874,"1"
"19",19,"Present","Species","Suberites pagurorum","","748S","BOT",57.3333,-13.8583,"massive",2005,2000,-2.52429962158203,3.57291412353516,118.811111450195,-152.83332824707,236.857818603516,0.00330109288915992,262.750122070312,0.00192293443251401,9.19300270080566,8.03372764587402,0.698375523090363,0.441901564598083,35.3124160766602,5.97767066955566,0.0379307195544243,9.05645847320557,"1"
"20",20,"Present","Species","Suberites pagurorum","","748S","BOT",57.4083,-13.6167,"massive",2005,2000,12.09375,12.09375,77.6034469604492,-139.194442749023,195.697494506836,0.00246447883546352,265.163970947266,0.0016076376195997,9.09197521209717,8.03831100463867,0.679114580154419,0.483418941497803,35.3139038085938,5.47459363937378,0.135602876543999,9.0863790512085,"1"
"21",21,"Present","Species","Suberites pagurorum","","748S","BOT",56.7545,-9.04933,"massive",2005,2000,66.881950378418,203.368057250977,253.893783569336,-287.277770996094,244.487976074219,0.106889799237251,231.121505737305,0.000765942211728543,10.8147296905518,8.02735614776611,0.738345086574554,0.213415935635567,35.3965492248535,5.76654434204102,4.32830810546875,10.1392154693604,"2"
"22",22,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.6717,-14.0663,"flabellate",2006,2000,3.61111450195312,6.63888931274414,273.63916015625,-161.138885498047,220.702850341797,0.00978011172264814,266.484832763672,0.00124751194380224,9.35882663726807,8.04298400878906,0.67251455783844,0.412082523107529,35.3014373779297,5.2094259262085,0.118485555052757,8.93443965911865,"1"
"23",23,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.7872,-13.9049,"flabellate",2006,2000,9.8993091583252,9.8993091583252,349.919982910156,-151.888885498047,39.6949920654297,0.00886768288910389,266.893371582031,0.00120052439160645,9.36977767944336,8.04361915588379,0.669961035251617,0.410783141851425,35.3017311096191,5.13036632537842,0.0984232798218727,8.95552539825439,"1"
"24",24,"Present","Species","Suberites pagurorum","","748S","BOT",57.5064,-14.0075,"massive",2006,2000,2.27778244018555,6.26388931274414,288.370513916016,-150.638885498047,18.7968654632568,0.0105104362592101,265.471069335938,0.00148752157110721,9.32628726959229,8.03986358642578,0.683222770690918,0.425888776779175,35.3042449951172,5.51037549972534,0.134955480694771,8.95123100280762,"1"
"25",25,"Present","Species","Suberites pagurorum","","748S","BOT",57.9057,-13.6812,"massive",2006,2000,-1.77083587646484,17.5694465637207,11.2755584716797,-185.611114501953,103.78897857666,0.00738521851599216,263.102386474609,0.00101297115907073,9.63258743286133,8.04244518280029,0.678557753562927,0.328583359718323,35.3025856018066,5.16597080230713,0.23614801466465,9.03227806091309,"1"
"26",26,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.6337,-13.4748,"flabellate",2006,2000,-5.22221565246582,10.0069408416748,100.471656799316,-151.777770996094,132.132888793945,0.00229569198563695,265.807281494141,0.00118099362589419,9.28352069854736,8.0437183380127,0.662861883640289,0.428397744894028,35.3120880126953,4.97940444946289,0.227880120277405,9.11446762084961,"1"
"27",27,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.3519,-13.6922,"flabellate",2006,2000,8.25346374511719,9.34374618530273,234.788299560547,-142.222229003906,215.537979125977,0.00338082760572433,265.055786132812,0.00164516363292933,9.08566188812256,8.03747653961182,0.680913746356964,0.481531053781509,35.3145446777344,5.5450177192688,0.105405002832413,9.09469223022461,"1"
"28",28,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.3755,-13.4937,"flabellate",2006,2000,2.21874618530273,8.73263931274414,105.856307983398,-181.111114501953,201.954788208008,0.00366692221723497,257.850341796875,0.00133334915153682,9.31477928161621,8.0389232635498,0.674197793006897,0.361360996961594,35.3179092407227,5.29607820510864,0.193729400634766,9.19448280334473,"1"
"29",29,"Present","Species","Suberites pagurorum","","748S","BOT",57.7299,-13.3797,"massive",2006,2000,2.98611450195312,8.13888931274414,83.4442520141602,-157.33332824707,43.8026924133301,0.00266494485549629,265.554107666016,0.00107964570634067,9.32254886627197,8.04435157775879,0.661538600921631,0.411011546850204,35.3110771179199,4.9128270149231,0.197615310549736,9.15111446380615,"1"
"30",30,"Present","Species","Suberites pagurorum","","748S","BOT",57.1368,-13.5437,"massive",2006,2000,-22.9687442779541,28.0798587799072,354.028411865234,-232.83332824707,202.361663818359,0.00918330159038305,249.776138305664,0.000892707670573145,9.83816528320312,8.03690814971924,0.6869295835495,0.293402701616287,35.3297348022461,5.29071044921875,0.325327455997467,9.35775279998779,"1"
"31",31,"Present","Species","Suberites pagurorum","","748S","BOT",57.2563,-13.7035,"massive",2006,2000,10.2430572509766,23.2361106872559,121.878883361816,-167.83332824707,225.706085205078,0.00639280863106251,259.912322998047,0.00141898915171623,9.19555473327637,8.03763198852539,0.67435896396637,0.390185862779617,35.3175010681152,5.46443748474121,0.452746242284775,9.15711402893066,"1"
"32",32,"Present","Species","Suberites pagurorum","","748S","BOT",57.3415,-13.883,"massive",2006,2000,-2.52429962158203,3.57291412353516,118.811111450195,-152.83332824707,236.857818603516,0.00330109288915992,262.750122070312,0.00192293443251401,9.19300270080566,8.03372764587402,0.698375523090363,0.441901564598083,35.3124160766602,5.97767066955566,0.0379307195544243,9.05645847320557,"1"
"33",33,"Present","Species","Suberites pagurorum","","748S","BOT",57.0271,-13.8302,"massive",2006,2000,1.23611640930176,7.30555534362793,305.729888916016,-184.138885498047,249.909408569336,0.00488688703626394,256.800048828125,0.00139277207199484,9.32968330383301,8.03686046600342,0.680056750774384,0.355331480503082,35.324649810791,5.54411506652832,0.101364299654961,9.30345344543457,"1"
"34",34,"Present","Species","Suberites pagurorum","","748S","BOT",56.9663,-13.7538,"massive",2006,2000,11.8715267181396,11.8715267181396,106.664604187012,-172.194442749023,241.759017944336,0.0033606612123549,259.575439453125,0.0015611236449331,9.22560024261475,8.03591442108154,0.682543158531189,0.387560099363327,35.3290176391602,5.6682710647583,0.0548347011208534,9.38309860229492,"1"
"35",35,"Present","Species","Phakellia ventilabrum","","748S","BOT",56.7375,-14.726,"flabellate",2006,2000,-1.59374618530273,4.23263931274414,230.485946655273,-190.58332824707,178.015975952148,0.00577005185186863,258.641357421875,0.00140493642538786,9.57583332061768,8.03437995910645,0.703985929489136,0.382883340120316,35.3133392333984,6.14795064926147,0.0308221038430929,9.17136859893799,"1"
"36",36,"Present","Species","Phakellia ventilabrum","","748S","BOT",56.7985,-14.2967,"flabellate",2006,2000,1.24306106567383,2.59722137451172,143.963256835938,-187.527770996094,230.450637817383,0.00238406821154058,258.751403808594,0.0015461219009012,9.46731567382812,8.03353786468506,0.698693156242371,0.378060519695282,35.3229637145996,6.07795572280884,0.040583111345768,9.28655624389648,"1"
"37",37,"Present","Species","Suberites pagurorum","","748S","BOT",56.4673,-14.6343,"massive",2006,2000,2.97221755981445,4.88888931274414,140.671875,-198.611114501953,122.842697143555,0.00355712883174419,258.650146484375,0.00112555187661201,9.40937995910645,8.03958034515381,0.671198129653931,0.356941223144531,35.3217010498047,5.33287286758423,0.0753605589270592,9.29906177520752,"1"
"38",38,"Present","Species","Suberites pagurorum","","748S","BOT",56.6058,-14.5063,"massive",2006,2000,0.0659694671630859,1.06597328186035,200.38493347168,-194.611114501953,135.005752563477,0.00309290550649166,258.564208984375,0.00130639504641294,9.46918773651123,8.03595638275146,0.688502609729767,0.366569995880127,35.3182945251465,5.79124164581299,0.01324378605932,9.23344039916992,"1"
"39",39,"Present","Species","Suberites pagurorum","","748S","BOT",56.5883,-14.7415,"massive",2006,2000,-0.840276718139648,2.10416603088379,114.372673034668,-195.444442749023,165.730163574219,0.00992735382169485,259.480712890625,0.00127862195950001,9.47957515716553,8.03827095031738,0.681105971336365,0.372912555932999,35.3158493041992,5.57188844680786,0.0420290902256966,9.21042442321777,"1"
"40",40,"Present","Species","Suberites pagurorum","","748S","BOT",56.7375,-14.726,"massive",2006,2000,-1.59374618530273,4.23263931274414,230.485946655273,-190.58332824707,178.015975952148,0.00577005185186863,258.641357421875,0.00140493642538786,9.57583332061768,8.03437995910645,0.703985929489136,0.382883340120316,35.3133392333984,6.14795064926147,0.0308221038430929,9.17136859893799,"1"
"41",41,"Present","Species","Suberites pagurorum","","748S","BOT",56.7801,-14.4632,"massive",2006,2000,-5.21874618530273,8.51041793823242,165.120574951172,-187.138885498047,228.495910644531,0.00624245870858431,258.052276611328,0.0016360895242542,9.57932281494141,8.0300407409668,0.717590630054474,0.385309308767319,35.3174324035645,6.56326675415039,0.114823877811432,9.20615863800049,"1"
"42",42,"Present","Species","Suberites pagurorum","","748S","BOT",56.7985,-14.2967,"massive",2006,2000,1.24306106567383,2.59722137451172,143.963256835938,-187.527770996094,230.450637817383,0.00238406821154058,258.751403808594,0.0015461219009012,9.46731567382812,8.03353786468506,0.698693156242371,0.378060519695282,35.3229637145996,6.07795572280884,0.040583111345768,9.28655624389648,"1"
"43",43,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.4063,-14.2299,"flabellate",2006,2000,1.32291603088379,7.16319465637207,274.310913085938,-181.444442749023,19.3680820465088,0.00919633265584707,261.947692871094,0.0013865401269868,9.44109058380127,8.03823280334473,0.693114161491394,0.374653160572052,35.3002243041992,5.75634717941284,0.160845026373863,8.98319149017334,"1"
"44",44,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.1564,-14.1313,"flabellate",2006,2000,27.1631946563721,30.8645820617676,80.0431823730469,-124.416664123535,219.877334594727,0.00159336684737355,269.092742919922,0.00120070448610932,9.08255386352539,8.0429515838623,0.660191774368286,0.492459714412689,35.3098793029785,5.02655029296875,0.256599873304367,9.1337251663208,"1"
"45",45,"Present","Species","Suberites pagurorum","","748S","BOT",57.4063,-14.2299,"massive",2006,2000,1.32291603088379,7.16319465637207,274.310913085938,-181.444442749023,19.3680820465088,0.00919633265584707,261.947692871094,0.0013865401269868,9.44109058380127,8.03823280334473,0.693114161491394,0.374653160572052,35.3002243041992,5.75634717941284,0.160845026373863,8.98319149017334,"1"
"46",46,"Present","Species","Suberites pagurorum","","748S","BOT",57.2283,-14.1623,"massive",2006,2000,-18.7430610656738,20.8125038146973,323.032470703125,-172.361114501953,214.389251708984,0.00599036458879709,258.502838134766,0.00226680096238852,9.37923526763916,8.02634334564209,0.737003982067108,0.401214390993118,35.3057403564453,6.98281335830688,0.283597409725189,9.02092933654785,"1"
"47",47,"Present","Species","Suberites pagurorum","","748S","BOT",57.1564,-14.1313,"massive",2006,2000,27.1631946563721,30.8645820617676,80.0431823730469,-124.416664123535,219.877334594727,0.00159336684737355,269.092742919922,0.00120070448610932,9.08255386352539,8.0429515838623,0.660191774368286,0.492459714412689,35.3098793029785,5.02655029296875,0.256599873304367,9.1337251663208,"1"
"48",48,"Present","Species","Suberites pagurorum","","748S","BOT",56.9701,-14.1489,"massive",2006,2000,-3.28125190734863,16.9618053436279,131.373809814453,-215,221.964141845703,0.0130189526826143,254.9169921875,0.00118672556709498,9.56502151489258,8.03543472290039,0.691104292869568,0.335347771644592,35.3198928833008,5.74078512191772,0.223206400871277,9.19799327850342,"1"
"49",49,"Present","Species","Axinella polypoides","","748S","BOT",56.7442,-9.051,"arborescent",2006,2000,-81.0485992431641,213.39582824707,261.793640136719,-740.305541992188,208.076309204102,0.0432146117091179,193.467468261719,0.000757861766032875,15.8140096664429,7.96878099441528,1.02146935462952,0.0172634124755859,35.3750648498535,8.86845779418945,4.77167367935181,9.67488098144531,"1"
"50",50,"Present","Species","Suberites pagurorum","","748S","BOT",55.1752,-10.1742,"massive",2006,2000,20.0451049804688,192.225677490234,274.210876464844,-1065.13891601562,26.0156059265137,0.0209003742784262,222.441390991211,0.000710617110598832,15.7236337661743,7.98372745513916,1.02738332748413,0.0169648658484221,35.1596488952637,9.1002025604248,4.45251321792603,6.49708080291748,"1"
"51",51,"Present","Species","Suberites pagurorum","","748S","BOT",55.9255,-9.44567,"massive",2006,2000,-30.7985763549805,129.458343505859,291.906463623047,-1008.61108398438,18.3487186431885,0.0120898094028234,210.632705688477,0.000786588003393263,15.7529144287109,7.97859954833984,1.02546560764313,0.0169175267219543,35.265079498291,9.09751510620117,2.68495583534241,8.22196865081787,"1"
"52",52,"Present","Genus","Geodia","","748S","BOT",56.8117,-9.3555,"massive",2006,2000,-17.0590057373047,39.4062347412109,273.668060302734,-1521.86108398438,222.227294921875,0.00115925457794219,256.174072265625,0.000789659912697971,16.8689231872559,7.97136259078979,1.13573348522186,0.0143575286492705,35.027042388916,13.4398097991943,0.884668588638306,4.79868173599243,"1"
"53",53,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.4716,-13.6918,"caliculate",2007,2000,-4.79861068725586,6.29861068725586,151.828018188477,-147.388885498047,219.759628295898,0.00354106537997723,265.291320800781,0.00163798034191132,9.10519790649414,8.03840255737305,0.681338131427765,0.485774636268616,35.3115730285645,5.50517082214355,0.0557593032717705,9.03396415710449,"1"
"54",54,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.4947,-14.013,"caliculate",2007,2000,1.63194274902344,5.36111068725586,267.645874023438,-149.305557250977,18.272144317627,0.00984381418675184,264.852874755859,0.00162850471679121,9.29989624023438,8.03802680969238,0.6887366771698,0.43316638469696,35.3048133850098,5.67620658874512,0.126147747039795,8.95817279815674,"1"
"55",55,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.6754,-14.0702,"caliculate",2007,2000,3.61111450195312,6.63888931274414,273.63916015625,-161.138885498047,220.702850341797,0.00978011172264814,266.484832763672,0.00124751194380224,9.35882663726807,8.04298400878906,0.67251455783844,0.412082523107529,35.3014373779297,5.2094259262085,0.118485555052757,8.93443965911865,"1"
"56",56,"Present","Species","Suberites pagurorum","","748S","BOT",57.5,-13.4366,"massive",2007,2000,-0.0624980926513672,8.8055591583252,113.851463317871,-169.888885498047,204.463592529297,0.00249738176353276,262.540618896484,0.00136166857555509,9.23554706573486,8.04081344604492,0.66907674074173,0.409650564193726,35.3158798217773,5.18575000762939,0.20066674053669,9.18354892730713,"1"
"57",57,"Present","Species","Suberites pagurorum","","748S","BOT",57.4716,-13.6918,"massive",2007,2000,-4.79861068725586,6.29861068725586,151.828018188477,-147.388885498047,219.759628295898,0.00354106537997723,265.291320800781,0.00163798034191132,9.10519790649414,8.03840255737305,0.681338131427765,0.485774636268616,35.3115730285645,5.50517082214355,0.0557593032717705,9.03396415710449,"1"
"58",58,"Present","Species","Suberites pagurorum","","748S","BOT",57.4947,-14.013,"massive",2007,2000,1.63194274902344,5.36111068725586,267.645874023438,-149.305557250977,18.272144317627,0.00984381418675184,264.852874755859,0.00162850471679121,9.29989624023438,8.03802680969238,0.6887366771698,0.43316638469696,35.3048133850098,5.67620658874512,0.126147747039795,8.95817279815674,"1"
"59",59,"Present","Species","Suberites pagurorum","","748S","BOT",57.6754,-14.0702,"massive",2007,2000,3.61111450195312,6.63888931274414,273.63916015625,-161.138885498047,220.702850341797,0.00978011172264814,266.484832763672,0.00124751194380224,9.35882663726807,8.04298400878906,0.67251455783844,0.412082523107529,35.3014373779297,5.2094259262085,0.118485555052757,8.93443965911865,"1"
"60",60,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.7844,-13.7894,"caliculate",2007,2000,3.55556297302246,5.76388740539551,307.566101074219,-145.58332824707,54.5119705200195,0.0068618762306869,266.053039550781,0.00157338427379727,9.18263912200928,8.04030323028564,0.682754695415497,0.47277957201004,35.3037071228027,5.44234132766724,0.0980928316712379,8.96094226837158,"3"
"61",61,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.9041,-13.6745,"caliculate",2007,2000,-1.77083587646484,17.5694465637207,11.2755584716797,-185.611114501953,103.78897857666,0.00738521851599216,263.102386474609,0.00101297115907073,9.63258743286133,8.04244518280029,0.678557753562927,0.328583359718323,35.3025856018066,5.16597080230713,0.23614801466465,9.03227806091309,"1"
"62",62,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.8544,-13.6244,"caliculate",2007,2000,5.94097709655762,15.5451412200928,14.8808135986328,-161.638885498047,96.2569198608398,0.0052638160996139,265.790496826172,0.00099578988738358,9.40502738952637,8.04472732543945,0.664909541606903,0.381169319152832,35.303050994873,4.93912887573242,0.211739808320999,9.05215072631836,"1"
"63",63,"Present","Species","Suberites pagurorum","","748S","BOT",57.7844,-13.7894,"massive",2007,2000,3.55556297302246,5.76388740539551,307.566101074219,-145.58332824707,54.5119705200195,0.0068618762306869,266.053039550781,0.00157338427379727,9.18263912200928,8.04030323028564,0.682754695415497,0.47277957201004,35.3037071228027,5.44234132766724,0.0980928316712379,8.96094226837158,"3"
"64",64,"Present","Species","Suberites pagurorum","","748S","BOT",57.7468,-13.4163,"massive",2007,2000,6.48264694213867,8.7256965637207,78.4638824462891,-145.777770996094,65.9302749633789,0.00449647707864642,265.779724121094,0.00137161859311163,9.17409992218018,8.04269695281982,0.671291172504425,0.463995456695557,35.3099670410156,5.16313362121582,0.153301283717155,9.10038375854492,"1"
"65",65,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.6325,-13.4859,"caliculate",2007,2000,-5.22221565246582,10.0069408416748,100.471656799316,-151.777770996094,132.132888793945,0.00229569198563695,265.807281494141,0.00118099362589419,9.28352069854736,8.0437183380127,0.662861883640289,0.428397744894028,35.3120880126953,4.97940444946289,0.227880120277405,9.11446762084961,"1"
"66",66,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.4583,-13.5694,"caliculate",2007,2000,-5.77777862548828,10.3958358764648,106.462173461914,-158.5,193.948211669922,0.00309752556495368,264.435577392578,0.00126997556071728,9.18599033355713,8.04161643981934,0.664126813411713,0.432220995426178,35.3154487609863,5.10048055648804,0.180437237024307,9.13516330718994,"1"
"67",67,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.3642,-13.6825,"caliculate",2007,2000,8.25346374511719,9.34374618530273,234.788299560547,-142.222229003906,215.537979125977,0.00338082760572433,265.055786132812,0.00164516363292933,9.08566188812256,8.03747653961182,0.680913746356964,0.481531053781509,35.3145446777344,5.5450177192688,0.105405002832413,9.09469223022461,"1"
"68",68,"Present","Species","Suberites pagurorum","","748S","BOT",57.4583,-13.5694,"massive",2007,2000,-5.77777862548828,10.3958358764648,106.462173461914,-158.5,193.948211669922,0.00309752556495368,264.435577392578,0.00126997556071728,9.18599033355713,8.04161643981934,0.664126813411713,0.432220995426178,35.3154487609863,5.10048055648804,0.180437237024307,9.13516330718994,"1"
"69",69,"Present","Species","Suberites pagurorum","","748S","BOT",57.3642,-13.6825,"massive",2007,2000,8.25346374511719,9.34374618530273,234.788299560547,-142.222229003906,215.537979125977,0.00338082760572433,265.055786132812,0.00164516363292933,9.08566188812256,8.03747653961182,0.680913746356964,0.481531053781509,35.3145446777344,5.5450177192688,0.105405002832413,9.09469223022461,"1"
"70",70,"Present","Species","Suberites pagurorum","","748S","BOT",57.2547,-13.6945,"massive",2007,2000,7.17708396911621,28.1840267181396,162.798797607422,-180.638885498047,228.986083984375,0.00579381128773093,256.745422363281,0.00131768372375518,9.30975914001465,8.03804302215576,0.674948692321777,0.353925377130508,35.3188323974609,5.38597345352173,0.431259095668793,9.18853282928467,"1"
"71",71,"Present","Species","Axinella infundibuliformis","","748S","BOT",56.9697,-13.6756,"caliculate",2007,2000,4.9131908416748,16.8993091583252,125.644874572754,-194.361114501953,35.6043853759766,0.00223242491483688,256.447448730469,0.00126778124831617,9.31697463989258,8.03815650939941,0.673640489578247,0.350838631391525,35.3345756530762,5.38191938400269,0.281811535358429,9.45523738861084,"1"
"72",72,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.3798,-14.143,"caliculate",2007,2000,-3.43750381469727,7.26388931274414,264.594177246094,-167.055557250977,220.549652099609,0.010450822301209,261.106719970703,0.00181789940688759,9.390793800354,8.0333194732666,0.710859179496765,0.397603809833527,35.3038177490234,6.26757335662842,0.140176698565483,8.97748374938965,"1"
"73",73,"Present","Species","Axinella polypoides","","748S","BOT",57.1601,-13.5103,"arborescent",2007,2000,-26.371524810791,26.371524810791,222.180694580078,-242.194442749023,208.243103027344,0.0128098139539361,250.206680297852,0.00089523516362533,9.8387336730957,8.03693962097168,0.686749160289764,0.291966319084167,35.3252563476562,5.27662181854248,0.251679658889771,9.29679584503174,"1"
"74",74,"Present","Species","Suberites pagurorum","","748S","BOT",57.1601,-13.5103,"massive",2007,2000,-26.371524810791,26.371524810791,222.180694580078,-242.194442749023,208.243103027344,0.0128098139539361,250.206680297852,0.00089523516362533,9.8387336730957,8.03693962097168,0.686749160289764,0.291966319084167,35.3252563476562,5.27662181854248,0.251679658889771,9.29679584503174,"1"
