"","X","status","HighestTaxonomicResolution","Species","CruiseID","Ship","SurveyMethod","MiddleLatitude","MiddleLongitude","morphotype","ObsYear","Decade","ID","terrain_ruggedness_index","sws_mean","o2_mean","si_mean","thetao_mean","cover"
"14",14,"Present","Species","Suberites pagurorum","","748S","BOT",56.8,-14.275,"massive",2005,2000,14,6.60763549804688,0.00204912922345102,258.3525390625,6.14994335174561,9.26002502441406,"Mud to muddy Sand"
"15",15,"Present","Species","Suberites pagurorum","","748S","BOT",56.75,-14.475,"massive",2005,2000,15,8.51041793823242,0.00624245870858431,258.052276611328,6.56326675415039,9.20615863800049,"Mud to muddy Sand"
"16",16,"Present","Species","Suberites pagurorum","","748S","BOT",56.95,-13.7667,"massive",2005,2000,16,11.8715267181396,0.0033606612123549,259.575439453125,5.6682710647583,9.38309860229492,"Mud to muddy Sand"
"17",17,"Present","Species","Suberites pagurorum","","748S","BOT",57.1417,-13.5167,"massive",2005,2000,17,28.0798587799072,0.00918330159038305,249.776138305664,5.29071044921875,9.35775279998779,"Mud to muddy Sand"
"18",18,"Present","Species","Suberites pagurorum","","748S","BOT",57.25,-13.575,"massive",2005,2000,18,13.7986106872559,0.00767110101878643,256.477294921875,5.32484579086304,9.2354040145874,"Mud to muddy Sand"
"19",19,"Present","Species","Suberites pagurorum","","748S","BOT",57.3333,-13.8583,"massive",2005,2000,19,3.57291412353516,0.00330109288915992,262.750122070312,5.97767066955566,9.05645847320557,"Mud to muddy Sand"
"20",20,"Present","Species","Suberites pagurorum","","748S","BOT",57.4083,-13.6167,"massive",2005,2000,20,12.09375,0.00246447883546352,265.163970947266,5.47459363937378,9.0863790512085,"Mud to muddy Sand"
"21",21,"Present","Species","Suberites pagurorum","","748S","BOT",56.7545,-9.04933,"massive",2005,2000,21,203.368057250977,0.106889799237251,231.121505737305,5.76654434204102,10.1392154693604,"Sand"
"22",22,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.6717,-14.0663,"flabellate",2006,2000,22,6.63888931274414,0.00978011172264814,266.484832763672,5.2094259262085,8.93443965911865,"Mud to muddy Sand"
"23",23,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.7872,-13.9049,"flabellate",2006,2000,23,9.8993091583252,0.00886768288910389,266.893371582031,5.13036632537842,8.95552539825439,"Mud to muddy Sand"
"24",24,"Present","Species","Suberites pagurorum","","748S","BOT",57.5064,-14.0075,"massive",2006,2000,24,6.26388931274414,0.0105104362592101,265.471069335938,5.51037549972534,8.95123100280762,"Mud to muddy Sand"
"25",25,"Present","Species","Suberites pagurorum","","748S","BOT",57.9057,-13.6812,"massive",2006,2000,25,17.5694465637207,0.00738521851599216,263.102386474609,5.16597080230713,9.03227806091309,"Mud to muddy Sand"
"26",26,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.6337,-13.4748,"flabellate",2006,2000,26,10.0069408416748,0.00229569198563695,265.807281494141,4.97940444946289,9.11446762084961,"Mud to muddy Sand"
"27",27,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.3519,-13.6922,"flabellate",2006,2000,27,9.34374618530273,0.00338082760572433,265.055786132812,5.5450177192688,9.09469223022461,"Mud to muddy Sand"
"28",28,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.3755,-13.4937,"flabellate",2006,2000,28,8.73263931274414,0.00366692221723497,257.850341796875,5.29607820510864,9.19448280334473,"Mud to muddy Sand"
"29",29,"Present","Species","Suberites pagurorum","","748S","BOT",57.7299,-13.3797,"massive",2006,2000,29,8.13888931274414,0.00266494485549629,265.554107666016,4.9128270149231,9.15111446380615,"Mud to muddy Sand"
"30",30,"Present","Species","Suberites pagurorum","","748S","BOT",57.1368,-13.5437,"massive",2006,2000,30,28.0798587799072,0.00918330159038305,249.776138305664,5.29071044921875,9.35775279998779,"Mud to muddy Sand"
"31",31,"Present","Species","Suberites pagurorum","","748S","BOT",57.2563,-13.7035,"massive",2006,2000,31,23.2361106872559,0.00639280863106251,259.912322998047,5.46443748474121,9.15711402893066,"Mud to muddy Sand"
"32",32,"Present","Species","Suberites pagurorum","","748S","BOT",57.3415,-13.883,"massive",2006,2000,32,3.57291412353516,0.00330109288915992,262.750122070312,5.97767066955566,9.05645847320557,"Mud to muddy Sand"
"33",33,"Present","Species","Suberites pagurorum","","748S","BOT",57.0271,-13.8302,"massive",2006,2000,33,7.30555534362793,0.00488688703626394,256.800048828125,5.54411506652832,9.30345344543457,"Mud to muddy Sand"
"34",34,"Present","Species","Suberites pagurorum","","748S","BOT",56.9663,-13.7538,"massive",2006,2000,34,11.8715267181396,0.0033606612123549,259.575439453125,5.6682710647583,9.38309860229492,"Mud to muddy Sand"
"35",35,"Present","Species","Phakellia ventilabrum","","748S","BOT",56.7375,-14.726,"flabellate",2006,2000,35,4.23263931274414,0.00577005185186863,258.641357421875,6.14795064926147,9.17136859893799,"Mud to muddy Sand"
"36",36,"Present","Species","Phakellia ventilabrum","","748S","BOT",56.7985,-14.2967,"flabellate",2006,2000,36,2.59722137451172,0.00238406821154058,258.751403808594,6.07795572280884,9.28655624389648,"Mud to muddy Sand"
"37",37,"Present","Species","Suberites pagurorum","","748S","BOT",56.4673,-14.6343,"massive",2006,2000,37,4.88888931274414,0.00355712883174419,258.650146484375,5.33287286758423,9.29906177520752,"Mud to muddy Sand"
"38",38,"Present","Species","Suberites pagurorum","","748S","BOT",56.6058,-14.5063,"massive",2006,2000,38,1.06597328186035,0.00309290550649166,258.564208984375,5.79124164581299,9.23344039916992,"Mud to muddy Sand"
"39",39,"Present","Species","Suberites pagurorum","","748S","BOT",56.5883,-14.7415,"massive",2006,2000,39,2.10416603088379,0.00992735382169485,259.480712890625,5.57188844680786,9.21042442321777,"Mud to muddy Sand"
"40",40,"Present","Species","Suberites pagurorum","","748S","BOT",56.7375,-14.726,"massive",2006,2000,40,4.23263931274414,0.00577005185186863,258.641357421875,6.14795064926147,9.17136859893799,"Mud to muddy Sand"
"41",41,"Present","Species","Suberites pagurorum","","748S","BOT",56.7801,-14.4632,"massive",2006,2000,41,8.51041793823242,0.00624245870858431,258.052276611328,6.56326675415039,9.20615863800049,"Mud to muddy Sand"
"42",42,"Present","Species","Suberites pagurorum","","748S","BOT",56.7985,-14.2967,"massive",2006,2000,42,2.59722137451172,0.00238406821154058,258.751403808594,6.07795572280884,9.28655624389648,"Mud to muddy Sand"
"43",43,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.4063,-14.2299,"flabellate",2006,2000,43,7.16319465637207,0.00919633265584707,261.947692871094,5.75634717941284,8.98319149017334,"Mud to muddy Sand"
"44",44,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.1564,-14.1313,"flabellate",2006,2000,44,30.8645820617676,0.00159336684737355,269.092742919922,5.02655029296875,9.1337251663208,"Mud to muddy Sand"
"45",45,"Present","Species","Suberites pagurorum","","748S","BOT",57.4063,-14.2299,"massive",2006,2000,45,7.16319465637207,0.00919633265584707,261.947692871094,5.75634717941284,8.98319149017334,"Mud to muddy Sand"
"46",46,"Present","Species","Suberites pagurorum","","748S","BOT",57.2283,-14.1623,"massive",2006,2000,46,20.8125038146973,0.00599036458879709,258.502838134766,6.98281335830688,9.02092933654785,"Mud to muddy Sand"
"47",47,"Present","Species","Suberites pagurorum","","748S","BOT",57.1564,-14.1313,"massive",2006,2000,47,30.8645820617676,0.00159336684737355,269.092742919922,5.02655029296875,9.1337251663208,"Mud to muddy Sand"
"48",48,"Present","Species","Suberites pagurorum","","748S","BOT",56.9701,-14.1489,"massive",2006,2000,48,16.9618053436279,0.0130189526826143,254.9169921875,5.74078512191772,9.19799327850342,"Mud to muddy Sand"
"49",49,"Present","Species","Axinella polypoides","","748S","BOT",56.7442,-9.051,"arborescent",2006,2000,49,213.39582824707,0.0432146117091179,193.467468261719,8.86845779418945,9.67488098144531,"Mud to muddy Sand"
"50",50,"Present","Species","Suberites pagurorum","","748S","BOT",55.1752,-10.1742,"massive",2006,2000,50,192.225677490234,0.0209003742784262,222.441390991211,9.1002025604248,6.49708080291748,"Mud to muddy Sand"
"51",51,"Present","Species","Suberites pagurorum","","748S","BOT",55.9255,-9.44567,"massive",2006,2000,51,129.458343505859,0.0120898094028234,210.632705688477,9.09751510620117,8.22196865081787,"Mud to muddy Sand"
"52",52,"Present","Genus","Geodia","","748S","BOT",56.8117,-9.3555,"massive",2006,2000,52,39.4062347412109,0.00115925457794219,256.174072265625,13.4398097991943,4.79868173599243,"Mud to muddy Sand"
"53",53,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.4716,-13.6918,"caliculate",2007,2000,53,6.29861068725586,0.00354106537997723,265.291320800781,5.50517082214355,9.03396415710449,"Mud to muddy Sand"
"54",54,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.4947,-14.013,"caliculate",2007,2000,54,5.36111068725586,0.00984381418675184,264.852874755859,5.67620658874512,8.95817279815674,"Mud to muddy Sand"
"55",55,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.6754,-14.0702,"caliculate",2007,2000,55,6.63888931274414,0.00978011172264814,266.484832763672,5.2094259262085,8.93443965911865,"Mud to muddy Sand"
"56",56,"Present","Species","Suberites pagurorum","","748S","BOT",57.5,-13.4366,"massive",2007,2000,56,8.8055591583252,0.00249738176353276,262.540618896484,5.18575000762939,9.18354892730713,"Mud to muddy Sand"
"57",57,"Present","Species","Suberites pagurorum","","748S","BOT",57.4716,-13.6918,"massive",2007,2000,57,6.29861068725586,0.00354106537997723,265.291320800781,5.50517082214355,9.03396415710449,"Mud to muddy Sand"
"58",58,"Present","Species","Suberites pagurorum","","748S","BOT",57.4947,-14.013,"massive",2007,2000,58,5.36111068725586,0.00984381418675184,264.852874755859,5.67620658874512,8.95817279815674,"Mud to muddy Sand"
"59",59,"Present","Species","Suberites pagurorum","","748S","BOT",57.6754,-14.0702,"massive",2007,2000,59,6.63888931274414,0.00978011172264814,266.484832763672,5.2094259262085,8.93443965911865,"Mud to muddy Sand"
"60",60,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.7844,-13.7894,"caliculate",2007,2000,60,5.76388740539551,0.0068618762306869,266.053039550781,5.44234132766724,8.96094226837158,"Coarse-grained sediment"
"61",61,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.9041,-13.6745,"caliculate",2007,2000,61,17.5694465637207,0.00738521851599216,263.102386474609,5.16597080230713,9.03227806091309,"Mud to muddy Sand"
"62",62,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.8544,-13.6244,"caliculate",2007,2000,62,15.5451412200928,0.0052638160996139,265.790496826172,4.93912887573242,9.05215072631836,"Mud to muddy Sand"
"63",63,"Present","Species","Suberites pagurorum","","748S","BOT",57.7844,-13.7894,"massive",2007,2000,63,5.76388740539551,0.0068618762306869,266.053039550781,5.44234132766724,8.96094226837158,"Coarse-grained sediment"
"64",64,"Present","Species","Suberites pagurorum","","748S","BOT",57.7468,-13.4163,"massive",2007,2000,64,8.7256965637207,0.00449647707864642,265.779724121094,5.16313362121582,9.10038375854492,"Mud to muddy Sand"
"65",65,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.6325,-13.4859,"caliculate",2007,2000,65,10.0069408416748,0.00229569198563695,265.807281494141,4.97940444946289,9.11446762084961,"Mud to muddy Sand"
"66",66,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.4583,-13.5694,"caliculate",2007,2000,66,10.3958358764648,0.00309752556495368,264.435577392578,5.10048055648804,9.13516330718994,"Mud to muddy Sand"
"67",67,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.3642,-13.6825,"caliculate",2007,2000,67,9.34374618530273,0.00338082760572433,265.055786132812,5.5450177192688,9.09469223022461,"Mud to muddy Sand"
"68",68,"Present","Species","Suberites pagurorum","","748S","BOT",57.4583,-13.5694,"massive",2007,2000,68,10.3958358764648,0.00309752556495368,264.435577392578,5.10048055648804,9.13516330718994,"Mud to muddy Sand"
"69",69,"Present","Species","Suberites pagurorum","","748S","BOT",57.3642,-13.6825,"massive",2007,2000,69,9.34374618530273,0.00338082760572433,265.055786132812,5.5450177192688,9.09469223022461,"Mud to muddy Sand"
"70",70,"Present","Species","Suberites pagurorum","","748S","BOT",57.2547,-13.6945,"massive",2007,2000,70,28.1840267181396,0.00579381128773093,256.745422363281,5.38597345352173,9.18853282928467,"Mud to muddy Sand"
"71",71,"Present","Species","Axinella infundibuliformis","","748S","BOT",56.9697,-13.6756,"caliculate",2007,2000,71,16.8993091583252,0.00223242491483688,256.447448730469,5.38191938400269,9.45523738861084,"Mud to muddy Sand"
"72",72,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.3798,-14.143,"caliculate",2007,2000,72,7.26388931274414,0.010450822301209,261.106719970703,6.26757335662842,8.97748374938965,"Mud to muddy Sand"
"73",73,"Present","Species","Axinella polypoides","","748S","BOT",57.1601,-13.5103,"arborescent",2007,2000,73,26.371524810791,0.0128098139539361,250.206680297852,5.27662181854248,9.29679584503174,"Mud to muddy Sand"
"74",74,"Present","Species","Suberites pagurorum","","748S","BOT",57.1601,-13.5103,"massive",2007,2000,74,26.371524810791,0.0128098139539361,250.206680297852,5.27662181854248,9.29679584503174,"Mud to muddy Sand"
"75",75,"Present","Species","Suberites pagurorum","","748S","BOT",56.9697,-13.6756,"massive",2007,2000,75,16.8993091583252,0.00223242491483688,256.447448730469,5.38191938400269,9.45523738861084,"Mud to muddy Sand"
"76",76,"Present","Species","Suberites pagurorum","","748S","BOT",57.3798,-14.143,"massive",2007,2000,76,7.26388931274414,0.010450822301209,261.106719970703,6.26757335662842,8.97748374938965,"Mud to muddy Sand"
"77",77,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.0791,-13.9709,"caliculate",2007,2000,77,38.4340286254883,0.0122592784464359,251.243225097656,5.35083818435669,9.15594100952148,"Mud to muddy Sand"
"78",78,"Present","Species","Axinella infundibuliformis","","748S","BOT",56.7889,-14.4629,"caliculate",2007,2000,78,8.51041793823242,0.00624245870858431,258.052276611328,6.56326675415039,9.20615863800049,"Mud to muddy Sand"
"79",79,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.0601,-14.1401,"flabellate",2007,2000,79,23.8437538146973,0.00744293304160237,259.716094970703,6.47109842300415,9.13268852233887,"Mud to muddy Sand"
"80",80,"Present","Species","Phakellia ventilabrum","","748S","BOT",57.0107,-13.8577,"flabellate",2007,2000,80,13.2048568725586,0.00541767571121454,259.442108154297,5.8578519821167,9.27046775817871,"Mud to muddy Sand"
"81",81,"Present","Species","Suberites ficus","","748S","BOT",57.0107,-13.8577,"massive",2007,2000,81,13.2048568725586,0.00541767571121454,259.442108154297,5.8578519821167,9.27046775817871,"Mud to muddy Sand"
"82",82,"Present","Species","Suberites ficus","","748S","BOT",57.0791,-13.9709,"massive",2007,2000,82,38.4340286254883,0.0122592784464359,251.243225097656,5.35083818435669,9.15594100952148,"Mud to muddy Sand"
"83",83,"Present","Species","Suberites pagurorum","","748S","BOT",57.4123,-14.2351,"massive",2007,2000,83,7.16319465637207,0.00919633265584707,261.947692871094,5.75634717941284,8.98319149017334,"Mud to muddy Sand"
"84",84,"Present","Species","Suberites pagurorum","","748S","BOT",57.2276,-14.1666,"massive",2007,2000,84,20.8125038146973,0.00599036458879709,258.502838134766,6.98281335830688,9.02092933654785,"Mud to muddy Sand"
"85",85,"Present","Species","Suberites pagurorum","","748S","BOT",56.8585,-14.1451,"massive",2007,2000,85,15.0625,0.00443530641496181,257.537994384766,6.19198656082153,9.27020835876465,"Mud to muddy Sand"
"86",86,"Present","Species","Suberites pagurorum","","748S","BOT",56.9414,-14.3641,"massive",2007,2000,86,18.4340229034424,0.00781744625419378,255.838714599609,6.42036390304565,9.17020511627197,"Mud to muddy Sand"
"87",87,"Present","Species","Axinella infundibuliformis","","748S","BOT",56.593,-14.7093,"caliculate",2007,2000,87,2.10416603088379,0.00992735382169485,259.480712890625,5.57188844680786,9.21042442321777,"Mud to muddy Sand"
"88",88,"Present","Species","Axinella infundibuliformis","","748S","BOT",56.7297,-14.7297,"caliculate",2007,2000,88,4.23263931274414,0.00577005185186863,258.641357421875,6.14795064926147,9.17136859893799,"Mud to muddy Sand"
"89",89,"Present","Species","Phakellia ventilabrum","","748S","BOT",56.7297,-14.7297,"flabellate",2007,2000,89,4.23263931274414,0.00577005185186863,258.641357421875,6.14795064926147,9.17136859893799,"Mud to muddy Sand"
"90",90,"Present","Species","Phakellia ventilabrum","","748S","BOT",56.5953,-14.5213,"flabellate",2007,2000,90,2.20833206176758,0.00506263505667448,258.954559326172,5.38724660873413,9.27012825012207,"Mud to muddy Sand"
"91",91,"Present","Species","Suberites pagurorum","","748S","BOT",56.593,-14.7093,"massive",2007,2000,91,2.10416603088379,0.00992735382169485,259.480712890625,5.57188844680786,9.21042442321777,"Mud to muddy Sand"
"92",92,"Present","Species","Suberites pagurorum","","748S","BOT",56.7297,-14.7297,"massive",2007,2000,92,4.23263931274414,0.00577005185186863,258.641357421875,6.14795064926147,9.17136859893799,"Mud to muddy Sand"
"93",93,"Present","Species","Suberites pagurorum","","748S","BOT",56.5953,-14.5213,"massive",2007,2000,93,2.20833206176758,0.00506263505667448,258.954559326172,5.38724660873413,9.27012825012207,"Mud to muddy Sand"
"94",94,"Present","Species","Suberites pagurorum","","748S","BOT",56.5342,-14.5521,"massive",2007,2000,94,3.06597137451172,0.00428300397470593,258.800598144531,5.26781511306763,9.2868185043335,"Mud to muddy Sand"
"95",95,"Present","Species","Suberites pagurorum","","748S","BOT",56.4643,-14.6304,"massive",2007,2000,95,4.88888931274414,0.00355712883174419,258.650146484375,5.33287286758423,9.29906177520752,"Mud to muddy Sand"
"96",96,"Present","Genus","Geodia","","748S","BOT",56.196,-9.37083,"massive",2007,2000,96,100.30207824707,0.00677351793274283,211.553527832031,9.08932399749756,7.77656602859497,"Mud to muddy Sand"
"97",97,"Present","Species","Antho dichotoma","","748S","BOT",58.4054,-14.5569,"arborescent",2008,2000,97,78.2916641235352,0.0279736649245024,207.593765258789,9.69401454925537,8.1988000869751,"Mud to muddy Sand"
"98",98,"Present","Species","Antho dichotoma","","748S","BOT",57.9552,-14.4596,"arborescent",2008,2000,98,32.8194465637207,0.0261789690703154,243.00715637207,6.27700662612915,9.11279296875,"Mud to muddy Sand"
"99",99,"Present","Genus","Phakellia","","748S","BOT",57.6173,-14.1068,"flabellate",2008,2000,99,7.68402671813965,0.00966785475611687,264.142761230469,5.50528240203857,8.95040893554688,"Mud to muddy Sand"
"100",100,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.7837,-13.7912,"caliculate",2008,2000,100,5.76388740539551,0.0068618762306869,266.053039550781,5.44234132766724,8.96094226837158,"Coarse-grained sediment"
"101",101,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.6737,-14.0426,"caliculate",2008,2000,101,5.48263931274414,0.0102406488731503,266.756134033203,5.18701791763306,8.92954730987549,"Mud to muddy Sand"
"102",102,"Present","Genus","Phakellia","","748S","BOT",57.8508,-13.6275,"flabellate",2008,2000,102,15.5451412200928,0.0052638160996139,265.790496826172,4.93912887573242,9.05215072631836,"Mud to muddy Sand"
"103",103,"Present","Species","Suberites pagurorum","","748S","BOT",57.9012,-13.6948,"massive",2008,2000,103,17.5694465637207,0.00738521851599216,263.102386474609,5.16597080230713,9.03227806091309,"Mud to muddy Sand"
"104",104,"Present","Species","Suberites pagurorum","","748S","BOT",57.5466,-14.0254,"massive",2008,2000,104,6.26388931274414,0.0105104362592101,265.471069335938,5.51037549972534,8.95123100280762,"Mud to muddy Sand"
"105",105,"Present","Species","Suberites pagurorum","","748S","BOT",57.4207,-14.2434,"massive",2008,2000,105,7.16319465637207,0.00919633265584707,261.947692871094,5.75634717941284,8.98319149017334,"Mud to muddy Sand"
"106",106,"Present","Species","Suberites pagurorum","","748S","BOT",57.3774,-14.1373,"massive",2008,2000,106,7.26388931274414,0.010450822301209,261.106719970703,6.26757335662842,8.97748374938965,"Mud to muddy Sand"
"107",107,"Present","Species","Suberites pagurorum","","748S","BOT",57.344,-14.1347,"massive",2008,2000,107,5.45138740539551,0.00907351542264223,263.77978515625,5.96939277648926,8.99352931976318,"Mud to muddy Sand"
"108",108,"Present","Species","Suberites pagurorum","","748S","BOT",57.2254,-14.1702,"massive",2008,2000,108,20.8125038146973,0.00599036458879709,258.502838134766,6.98281335830688,9.02092933654785,"Mud to muddy Sand"
"109",109,"Present","Species","Suberites pagurorum","","748S","BOT",57.1553,-14.1745,"massive",2008,2000,109,45.4826354980469,0.00107957364525646,271.167724609375,4.60615396499634,9.19875621795654,"Mud to muddy Sand"
"110",110,"Present","Genus","Phakellia","","748S","BOT",56.5798,-14.7827,"flabellate",2008,2000,110,3.99305725097656,0.0099401893094182,259.59521484375,5.58165836334229,9.20953464508057,"Mud to muddy Sand"
"111",111,"Present","Species","Suberites ficus","","748S","BOT",56.5405,-14.5521,"massive",2008,2000,111,3.06597137451172,0.00428300397470593,258.800598144531,5.26781511306763,9.2868185043335,"Mud to muddy Sand"
"112",112,"Present","Species","Suberites pagurorum","","748S","BOT",56.7388,-14.7323,"massive",2008,2000,112,4.23263931274414,0.00577005185186863,258.641357421875,6.14795064926147,9.17136859893799,"Mud to muddy Sand"
"113",113,"Present","Species","Suberites pagurorum","","748S","BOT",56.5798,-14.7827,"massive",2008,2000,113,3.99305725097656,0.0099401893094182,259.59521484375,5.58165836334229,9.20953464508057,"Mud to muddy Sand"
"114",114,"Present","Species","Suberites pagurorum","","748S","BOT",56.4654,-14.6693,"massive",2008,2000,114,3.05208396911621,0.00509154004976153,259.136260986328,5.4209156036377,9.26987075805664,"Mud to muddy Sand"
"115",115,"Present","Species","Suberites pagurorum","","748S","BOT",56.5405,-14.5521,"massive",2008,2000,115,3.06597137451172,0.00428300397470593,258.800598144531,5.26781511306763,9.2868185043335,"Mud to muddy Sand"
"116",116,"Present","Genus","Phakellia","","748S","BOT",56.9672,-14.1602,"flabellate",2008,2000,116,16.2465305328369,0.0102111417800188,255.003601074219,5.85352993011475,9.2004861831665,"Mud to muddy Sand"
"117",117,"Present","Genus","Phakellia","","748S","BOT",57.0254,-13.8314,"flabellate",2008,2000,117,7.30555534362793,0.00488688703626394,256.800048828125,5.54411506652832,9.30345344543457,"Mud to muddy Sand"
"118",118,"Present","Species","Suberites pagurorum","","748S","BOT",56.7813,-14.2943,"massive",2008,2000,118,2.59722137451172,0.00238406821154058,258.751403808594,6.07795572280884,9.28655624389648,"Mud to muddy Sand"
"119",119,"Present","Species","Suberites pagurorum","","748S","BOT",56.9672,-14.1602,"massive",2008,2000,119,16.2465305328369,0.0102111417800188,255.003601074219,5.85352993011475,9.2004861831665,"Mud to muddy Sand"
"120",120,"Present","Species","Suberites pagurorum","","748S","BOT",57.0505,-14.1838,"massive",2008,2000,120,24.8194484710693,0.0112424734979868,256.860290527344,6.9299464225769,9.1665678024292,"Mud to muddy Sand"
"121",121,"Present","Species","Suberites pagurorum","","748S","BOT",57.0254,-13.8314,"massive",2008,2000,121,7.30555534362793,0.00488688703626394,256.800048828125,5.54411506652832,9.30345344543457,"Mud to muddy Sand"
"122",122,"Present","Species","Suberites pagurorum","","748S","BOT",56.9648,-13.7414,"massive",2008,2000,122,8.93750190734863,0.00349984969943762,256.989776611328,5.49787569046021,9.40919303894043,"Mud to muddy Sand"
"123",123,"Present","Genus","Phakellia","","748S","BOT",57.2783,-13.5731,"flabellate",2008,2000,123,13.7986106872559,0.00767110101878643,256.477294921875,5.32484579086304,9.2354040145874,"Mud to muddy Sand"
"124",124,"Present","Genus","Phakellia","","748S","BOT",57.2582,-13.9057,"flabellate",2008,2000,124,11.2847232818604,0.0048375315964222,264.305297851562,5.94640302658081,9.08296966552734,"Mud to muddy Sand"
"125",125,"Present","Species","Suberites ficus","","748S","BOT",57.2783,-13.5731,"massive",2008,2000,125,13.7986106872559,0.00767110101878643,256.477294921875,5.32484579086304,9.2354040145874,"Mud to muddy Sand"
"126",126,"Present","Species","Suberites pagurorum","","748S","BOT",57.2641,-13.6856,"massive",2008,2000,126,28.1840267181396,0.00579381128773093,256.745422363281,5.38597345352173,9.18853282928467,"Mud to muddy Sand"
"127",127,"Present","Species","Suberites pagurorum","","748S","BOT",57.3504,-13.7137,"massive",2008,2000,127,6.45833396911621,0.00400395644828677,263.514282226562,5.3868670463562,9.06653881072998,"Mud to muddy Sand"
"128",128,"Present","Species","Suberites pagurorum","","748S","BOT",57.3738,-13.5431,"massive",2008,2000,128,8.76736259460449,0.0034827149938792,261.60009765625,5.28222846984863,9.17774391174316,"Mud to muddy Sand"
"129",129,"Present","Species","Axinella infundibuliformis","","748S","BOT",57.4612,-13.7101,"caliculate",2008,2000,129,5.94791603088379,0.00341826002113521,265.362670898438,5.57857799530029,9.01443672180176,"Mud to muddy Sand"
